Name,# of Reviews,Rating,Price,Cuisine,Neighbourhood,Price_,New_Price
Grand Electric,688,3.5,2,American,Parkdale,1.7692307692307692,2.0
Ristorante Sotto Sotto,100,4.0,3,European,The Annex,2.3703703703703702,3.0
The Queen And Beaver Public House,381,4.0,2,American,Downtown Core,2.1016949152542375,2.0
Insomnia Restaurant & Lounge,925,4.0,2,Other,The Annex,2.3703703703703702,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Scaddabush Italian Kitchen & Bar,210,3.5,2,European,Entertainment District,2.4727272727272727,2.0
Arabian Bites,1,5.0,0,Middle Eastern,Ryerson,1.8,2.0
The Ace,183,4.0,2,Other,Roncesvalles,1.8333333333333333,2.0
Carisma,170,4.0,3,European,Downtown Core,2.1016949152542375,3.0
Chick-fil-A,90,4.0,2,American,Church-Wellesley Village,2.0,2.0
Chung Chun Rice Hotdog,52,4.0,0,American,Willowdale,2.0,2.0
Gusto 501,14,3.5,0,European,Corktown,2.2857142857142856,2.0
Union Social Eatery,146,4.0,2,American,Yonge and St. Clair,,2.0
The Greek Grill,71,4.0,2,European,East York,1.625,2.0
Maha’s,497,4.0,2,African,Leslieville,2.0,2.0
Que Ling Restaurant,74,4.0,1,Asian,Riverdale,2.0,1.0
Cinco Mexican Restaurant,64,4.5,1,Mexican,Roncesvalles,1.8333333333333333,1.0
Rikkochez,55,4.5,2,Middle Eastern,Riverdale,2.0,2.0
Hacienda las Américas,60,4.5,2,Mexican,Downtown,1.8,2.0
Sher-E-Punjab,75,4.0,2,Asian,Riverdale,2.0,2.0
Goods & Provisions,95,4.0,2,American,Leslieville,2.0,2.0
Five Doors North,117,4.0,3,European,Mount Pleasant and Davisville,2.2857142857142856,3.0
Como En Casa,219,4.0,1,Mexican,Church-Wellesley Village,2.0,1.0
Kokyo Japanese Restaurant,47,4.0,2,Asian,Financial District,,2.0
Naan & Kabob,104,4.0,2,Middle Eastern,Church-Wellesley Village,2.0,2.0
Terroni,264,3.0,3,European,Rosedale,,3.0
Kintaro Izakaya,191,4.0,2,Asian,Church-Wellesley Village,2.0,2.0
8Mile Detroit Style Pizza,1,5.0,0,American,Downtown Core,2.1016949152542375,2.0
Chine Legendary Hot Pot & Noodles,198,4.0,2,Asian,Chinatown,1.7727272727272727,2.0
Nomé Izakaya,624,4.0,2,Other,Willowdale,2.0,2.0
Sukho Thai,124,3.5,2,Asian,Little Portugal,2.4285714285714284,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Fresco’s Fish & Chips,352,4.5,2,American,Kensington Market,1.7777777777777777,2.0
Cabano’s Comfort Food,48,4.5,0,Other,Downtown Core,2.1016949152542375,2.0
Mexico Lindo,58,4.0,2,Mexican,Mount Pleasant and Davisville,2.2857142857142856,2.0
Tamasha,10,4.5,0,American,Mount Pleasant and Davisville,2.2857142857142856,2.0
Mi Taco Taqueria,134,4.0,1,Mexican,Queen Street West,2.25,1.0
Patois Toronto,275,3.5,2,Asian,Little Italy,2.272727272727273,2.0
Flavours Of Sheba,12,4.5,0,African,Corso Italia,2.1666666666666665,2.0
Hogtown Smoke,64,4.0,2,American,St. Lawrence,2.0,2.0
Shatter Abbas,14,4.0,0,Middle Eastern,Harbourfront,2.2222222222222223,2.0
Pizzeria Libretto,109,4.0,2,American,Entertainment District,2.4727272727272727,2.0
SARA,45,4.0,0,American,Entertainment District,2.4727272727272727,2.0
Actinolite Restaurant,80,4.0,4,American,Christie Pits,,4.0
Terroni,264,3.0,3,European,Rosedale,,3.0
Nomé Izakaya,624,4.0,2,Other,Willowdale,2.0,2.0
Anestis Taverna,56,4.0,2,European,Greektown,1.8571428571428572,2.0
Casa Sinaloa,1,5.0,0,Mexican,Entertainment District,2.4727272727272727,2.0
Kintaro Izakaya,191,4.0,2,Asian,Church-Wellesley Village,2.0,2.0
Pearl Harbourfront Chinese Cuisine,231,3.5,2,Asian,Harbourfront,2.2222222222222223,2.0
Sansotei Ramen,867,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Wynona,46,4.5,0,European,Leslieville,2.0,2.0
Fusaro’s,84,4.0,2,European,Corktown,2.2857142857142856,2.0
Buca Yorkville,192,3.5,3,European,Yorkville,2.7222222222222223,3.0
Bar Neon,63,4.0,2,American,Bloordale Village,1.6,2.0
The Burgernator,338,4.0,2,American,Kensington Market,1.7777777777777777,2.0
